"Figure 2b: Life expectancy at birth, UK and constituent countries",""
"Females, between 1980 to 1982 and 2014 to 2016",""
"",""
"Notes",""
"Unit","Years"
"",""
"Year","UK","England","Wales","Scotland","Northern Ireland"
"1980 to 1982","76.80","77.04","76.36","75.31","75.54"
"1981 to 1983","77.02","77.26","76.56","75.47","76.00"
"1982 to 1984","77.25","77.48","76.95","75.62","76.32"
"1983 to 1985","77.39","77.48","76.95","75.82","76.68"
"1984 to 1986","77.55","77.75","77.41","76.00","76.89"
"1985 to 1987","77.68","77.88","77.53","76.21","77.11"
"1986 to 1988","77.92","78.10","77.88","76.50","77.28"
"1987 to 1989","78.05","78.26","78.01","76.47","77.51"
"1988 to 1990","78.23","78.26","78.27","76.60","77.63"
"1989 to 1991","78.41","78.61","78.46","76.74","78.01"
"1990 to 1992","78.70","78.88","78.78","77.11","78.39"
"1991 to 1993","78.78","78.98","78.78","77.12","78.56"
"1992 to 1994","79.02","79.23","78.94","77.31","78.69"
"1993 to 1995","79.11","79.33","78.94","77.44","78.65"
"1994 to 1996","79.31","79.52","79.07","77.73","78.94"
"1995 to 1997","79.38","79.58","79.05","77.85","79.16"
"1996 to 1998","79.55","79.74","79.25","78.04","79.49"
"1997 to 1999","79.70","79.90","79.34","78.18","79.46"
"1998 to 2000","79.91","80.12","79.58","78.35","79.55"
"1999 to 2001","80.12","80.34","79.73","78.56","79.75"
"2000 to 2002","80.36","80.57","80.01","78.78","80.13"
"2001 to 2003","80.47","80.68","80.11","78.86","80.42"
"2002 to 2004","80.68","80.89","80.33","79.05","80.55"
"2003 to 2005","80.91","81.12","80.56","79.24","80.82"
"2004 to 2006","81.24","81.47","80.93","79.54","80.96"
"2005 to 2007","81.44","81.68","81.09","79.68","81.18"
"2006 to 2008","81.61","81.85","81.23","79.83","81.20"
"2007 to 2009","81.84","82.09","81.40","80.05","81.32"
"2008 to 2010","82.08","82.33","81.66","80.30","81.43"
"2009 to 2011","82.42","82.68","82.01","80.56","81.84"
"2010 to 2012","82.58","82.83","82.10","80.75","82.12"
"2011 to 2013","82.71","82.96","82.19","80.89","82.29"
"2012 to 2014","82.81","83.05","82.29","81.06","82.28"
"2013 to 2015","82.82","83.06","82.26","81.14","82.27"
"2014 to 2016","82.86","83.10","82.36","81.15","82.29"
