"Title","Household Final Consumption Expenditure: Health: Four quarter growth rate %: Current Price: Seasonally Adjusted"
"CDID","KGI8"
"Source dataset ID","QNA"
"PreUnit",""
"Unit","%"
"Release date","28-09-2018"
"Next release","9 November 2018"
"Important notes",
"1986 Q1","12.4"
"1986 Q2","14.1"
"1986 Q3","15.9"
"1986 Q4","7.2"
"1987 Q1","17.2"
"1987 Q2","15.7"
"1987 Q3","10.1"
"1987 Q4","9.2"
"1988 Q1","10.4"
"1988 Q2","9.6"
"1988 Q3","14.6"
"1988 Q4","17.0"
"1989 Q1","14.2"
"1989 Q2","15.7"
"1989 Q3","16.4"
"1989 Q4","13.0"
"1990 Q1","10.8"
"1990 Q2","7.4"
"1990 Q3","5.1"
"1990 Q4","12.5"
"1991 Q1","10.5"
"1991 Q2","19.7"
"1991 Q3","21.8"
"1991 Q4","21.6"
"1992 Q1","17.7"
"1992 Q2","13.1"
"1992 Q3","8.1"
"1992 Q4","4.5"
"1993 Q1","2.5"
"1993 Q2","-0.7"
"1993 Q3","1.8"
"1993 Q4","8.2"
"1994 Q1","13.5"
"1994 Q2","14.6"
"1994 Q3","11.8"
"1994 Q4","6.2"
"1995 Q1","4.5"
"1995 Q2","4.3"
"1995 Q3","4.4"
"1995 Q4","6.7"
"1996 Q1","2.3"
"1996 Q2","4.8"
"1996 Q3","8.5"
"1996 Q4","8.7"
"1997 Q1","13.3"
"1997 Q2","6.2"
"1997 Q3","1.9"
"1997 Q4","0.4"
"1998 Q1","3.6"
"1998 Q2","9.1"
"1998 Q3","9.4"
"1998 Q4","6.3"
"1999 Q1","3.3"
"1999 Q2","3.3"
"1999 Q3","5.1"
"1999 Q4","8.0"
"2000 Q1","5.8"
"2000 Q2","2.7"
"2000 Q3","3.9"
"2000 Q4","8.1"
"2001 Q1","12.1"
"2001 Q2","11.4"
"2001 Q3","8.0"
"2001 Q4","2.6"
"2002 Q1","2.7"
"2002 Q2","6.6"
"2002 Q3","8.9"
"2002 Q4","12.7"
"2003 Q1","12.9"
"2003 Q2","12.5"
"2003 Q3","11.1"
"2003 Q4","7.3"
"2004 Q1","1.8"
"2004 Q2","-1.6"
"2004 Q3","-4.8"
"2004 Q4","-5.4"
"2005 Q1","-1.7"
"2005 Q2","0.0"
"2005 Q3","5.5"
"2005 Q4","9.1"
"2006 Q1","7.3"
"2006 Q2","9.6"
"2006 Q3","9.6"
"2006 Q4","11.4"
"2007 Q1","9.8"
"2007 Q2","8.8"
"2007 Q3","7.8"
"2007 Q4","6.9"
"2008 Q1","6.9"
"2008 Q2","2.5"
"2008 Q3","-4.9"
"2008 Q4","-12.8"
"2009 Q1","-3.7"
"2009 Q2","2.4"
"2009 Q3","9.2"
"2009 Q4","17.7"
"2010 Q1","11.2"
"2010 Q2","7.2"
"2010 Q3","4.4"
"2010 Q4","2.7"
"2011 Q1","4.7"
"2011 Q2","1.8"
"2011 Q3","4.4"
"2011 Q4","1.9"
"2012 Q1","-0.6"
"2012 Q2","-0.3"
"2012 Q3","0.6"
"2012 Q4","2.1"
"2013 Q1","5.9"
"2013 Q2","8.3"
"2013 Q3","13.1"
"2013 Q4","20.0"
"2014 Q1","11.0"
"2014 Q2","8.2"
"2014 Q3","0.2"
"2014 Q4","-4.2"
"2015 Q1","-1.9"
"2015 Q2","4.1"
"2015 Q3","8.1"
"2015 Q4","14.3"
"2016 Q1","16.0"
"2016 Q2","10.2"
"2016 Q3","9.1"
"2016 Q4","4.0"
"2017 Q1","2.9"
"2017 Q2","8.0"
"2017 Q3","8.1"
"2017 Q4","8.4"
"2018 Q1","13.5"
"2018 Q2","9.2"
