Financial Year,Quarter Ending,HSC Trust,Hospital,Programme of Care,Specialty,Total Available Beds,Average Available Beds,Total Occupied Beds,Average Occupied Beds,Total Inpatients,Total Day Case,Elective Inpatient,Non Elective Inpatient,Day Case,Regular Attenders
2006-2007,30-Jun-06,Belfast,Beechcroft,Mental Health,Child & Adolescent Psychiatry,208,0.6,89,0.2,0,307,0,0,0,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Accident & Emergency,148,0.4,10,0,4,0,0,4,0,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Cardiology,"3,433",9.4,"2,445",6.7,814,220,361,453,220,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Clinical Genetics,0,0,0,0,0,4,0,0,4,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Clinical Oncology,67,0.2,67,0.2,18,"1,212",5,13,"1,212",0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Dermatology,"1,174",3.2,"1,160",3.2,86,"1,583",84,2,2,"1,581"
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Ear Nose Throat,"1,956",5.4,693,1.9,486,99,428,58,99,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Gastroenterology,209,0.6,209,0.6,46,590,38,8,590,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,General Medicine,"11,583",31.7,"11,271",30.9,"1,482",3,24,"1,458",2,1
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,General Surgery,"8,485",23.2,"7,999",21.9,"1,034",190,495,539,190,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Gynaecology,"1,946",5.3,"1,660",4.5,261,122,250,11,122,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Haematology Clinical,"2,828",7.7,"2,600",7.1,191,"1,051",74,117,"1,051",0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Medical Oncology,80,0.2,80,0.2,21,922,8,13,922,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Nephrology,"6,699",18.4,"4,796",13.1,339,"9,084",256,83,204,"8,880"
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Pain Management,268,0.7,3,0,8,140,8,0,140,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Plastic Surgery,59,0.2,59,0.2,19,0,18,1,0,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Rheumatology,0,0,0,0,0,284,0,0,284,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Thoracic Medicine,"1,940",5.3,"1,619",4.4,167,208,126,41,208,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Thoracic Surgery,190,0.5,78,0.2,24,0,23,1,0,0
2006-2007,30-Jun-06,Belfast,Belfast City,Acute Services,Urology,"4,013",11,"3,582",9.8,686,"1,130",515,171,"1,130",0
2006-2007,30-Jun-06,Belfast,Belfast City,Elderly Care,Geriatric Medicine,"9,707",26.6,"9,435",25.8,280,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Belfast City,Mental Health,Mental Illness,0,0,0,0,1,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Forster Green,Acute Services,Neurology,"2,393",6.6,"1,866",5.1,69,0,68,1,0,0
2006-2007,30-Jun-06,Belfast,Forster Green,Acute Services,Rehabilitation,0,0,0,0,12,0,7,5,0,0
2006-2007,30-Jun-06,Belfast,Forster Green,Elderly Care,Geriatric Medicine,"1,454",4,947,2.6,53,0,0,0,0,0
