"Rank","World_Rank","Hospital_name"
"101","1464","Royal Hospital for Neuro-disability"
"102","1476","Oxford Health NHS Foundation Trust"
"103","1488","NHS West Sussex"
"104","1494","Dumfries and Galloway NHS"
"105","1497","Wellington Hospital"
"106","1509","Kirklees Primare Care Trust NHS"
"107","1514","Imperial College Healthcare NHS Trust"
"108","1518","Colchester Hospital University"
"109","1525","Western Sussex Hospitals NHS (St Richard’S Hospital At Chichester)"
"110","1542","Barts Health NHS Trust"
"111","1550","County Durham & Darlington Acute Hospitals NHS"
"112","1572","Southern Health and Social Care Trust"
"113","1575","Hillingdon Hospital NHS Trust"
"114","1608","South Devon Healthcare NHS Foundation Trust"
"115","1613","Pennine Acute Hospitals NHS"
"116","1613","Peterborough and Stamford NHS Foundation Trust"
"117","1617","North Cumbria Acute Hospitals NHS North Cumbria"
"118","1640","Hammersmith and Fulham Primary Care Trust"
"119","1647","Hull and East Yorkshire Hospitals NHS"
"120","1659","Kingston Hospital NHS Trust"
"121","1685","Iow NHS Primary Care Trust"
"122","1686","Whittington Hospital NHS"
"123","1725","Northern Lincolnshire and Goole NHS Foundation Trust"
"124","1753","Coventry and Warwickshire Hospitals"
"125","1753","Shropshire Community Health NHS Trust"
"126","1802","Sheffield Children's NHS Foundation Trust"
"127","1805","Dorset HealthCare"
"128","1823","Nottinghamshire County Teaching Primary Care NHS Trust"
"129","1829","East Lancashire Hospitals"
"130","1840","Walton Centre"
"131","1849","Belfast Trust and Social Care Trust"
"132","1872","Croydon Health Services (formerly Mayday)"
"133","1902","Heatherwood and Wexham Park Hospitals NHS"
"134","1935","Kent and Medway NHS and Social Care Partnership Trust"
"135","1935","Royal Hospital School"
"136","1948","Royal Free Hospital NHS"
"137","1952","Tameside Hospital"
"138","1956","Chesterfield Royal Hospital NHS"
"139","1961","Swindon & Marlborough NHS"
"140","1972","NHS North West"
"141","1973","Royal Wolverhampton Hospitals NHS"
"142","1973","Portland Hospital"
"143","1980","East Cheshire NHS Trust"
"144","1992","Barking Havering and Redbridge Hospitals NHS Trust"
"145","2005","CircleBath Hospital Circle Partnership"
"146","2052","Ipswich Hospital NHS Trust"
"147","2094","Aintree University Hospitals NHS Foundation Trust"
"148","2139","James T University Hospitals NHS Foundation Trust"
"149","2172","Northumbria Healthcare NHS Foundation Trust"
"150","2197","Airedale NHS"
"151","2228","Poole Hospital NHS Trust"
"152","2247","Coventry and Warwickshire Partnership NHS Trust"
"153","2261","Hertfordshire Partnership NHS Foundation Trust"
"154","2278","Exeter Hospital"
"155","2290","Ashford & St Peters Hospitals NHS Trust"
"156","2326","Nottinghamshire Healthcare"
"157","2334","Hinchingbrooke Health Care NHS Trust"
"158","2359","Southend University Hospital NHS Foundation Trust"
"159","2396","South Warwickshire NHS Foundation Trust"
"160","2400","Stockport NHS Foundation Trust"
"161","2403","Bradford Hospitals"
"162","2415","Royal Brompton and Harefield NHS"
"163","2454","Berkshire Healthcare NHS Foundation Trust"
"164","2460","Walsall Healthcare NHS Trust"
"165","2478","Southport and Ormskirk Hospital NHS"
"166","2485","Dorset County Hospital NHS Foundation Trust"
"167","2511","Salford Royal NHS Foundation Trust Hope Hospital"
"168","2538","Bury Knowle Health Centre"
"169","2559","University Hospitals of Morecambe Bay NHS"
"170","2571","Worcestershire Acute Hospitals NHS Trust"
"171","2585","Liverpool Women's NHS Foundation Trust"
"172","2599","Mid Essex Hospital Services"
"173","2602","Somerset Partnership NHS Trust"
"174","2612","Solent NHS Trust"
"175","2615","Queen Victoria Hospital NHS Foundation Trust"
"176","2621","Princess Alexandra Hospital NHS Trust"
"177","2648","South Downs NHS Health Trust"
"178","2658","Herts&Essex Urology Clinic"
"179","2673","Crewkerne Health Centre"
"180","2686","Epsom and St Helier University Hospitals NHS Trust"
"181","2694","Whinpark Medical Centre"
"182","2712","NHS Gateshead"
"183","2757","Boughton Health Centre"
"184","2796","Lister Hospital"
"185","2804","Optegra"
"186","2843","Carryduff Surgery"
"187","2850","South Eastern Health and Social Care Trust"
"188","2850","Elms Medical Centre"
"189","2894","Bramhall Park Medical Centre and Shaw Heath Health Centre"
"190","2910","Holly House Hospital"
"191","2926","Ramsay Health Care UK Private Hospitals"
"192","2971","Royal Hospital Chelsea"
"193","2983","Robert Jones & Agnes Hunt Orthopaedic & District Hospital NHS Trust"
"194","2991","Royal Surrey County Hospital"
"195","2995","London Clinic"
"196","3008","Barnsley Hospital NHS Foundation Trust"
"197","3017","Highgate Hospital"
"198","3040","Cheshire and Wirral Partnership NHS Trust"
"199","3068","Bolton NHS Trust"
"200","3085","Derbyshire Community Health Services NHS Trust"
